0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
-22046421.5411634,-38.7567622287277,-20823388.8242244,11219366.1684026,19455510.5335531,-22285881.0257008,11203381.9448425,-19446582.1307863,-22262295.0487096
-22295534.0493472,-77.0284491772078,-21113927.0221035,11210115.3252039,19456076.8734273,-22291892.3081931,11197040.4207954,-19451580.3543823,-22273805.1249273
-22438449.2743671,-113.185956240373,-21347075.8328844,11201723.3969754,19456557.4240376,-22296874.9369902,11190926.3886586,-19454856.8694862,-22282803.3699469
-22508520.1450661,-146.169775539468,-21542391.1726249,11194607.155338,19457046.0386423,-22300797.2803402,11185651.9251369,-19456957.1452818,-22289692.5176564
-22530866.9454936,-175.426218361279,-21709220.0347961,11189022.4614521,19457573.3242497,-22303658.3262965,11181593.0520846,-19458273.8789109,-22294775.9165966
-22524229.9364884,-200.820242780364,-21850855.8029025,11185060.5191475,19458131.8461919,-22305514.0547672,11178906.1338185,-19459087.1616108,-22298314.4848953
-22502606.25966,-222.537903476268,-21967924.7649337,11182657.0181473,19458692.8913974,-22306481.9258556,11177556.5580431,-19459593.2222092,-22300559.9234877
-22476315.4306203,-240.989408941273,-22060543.5287857,11181615.9594534,19459218.8330319,-22306730.6069931,11177359.3060576,-19459925.1033185,-22301768.338385
-22452645.60109,-256.722677862399,-22129445.7887828,11181646.0204172,19459672.7599129,-22306460.7251743,11178028.3131485,-19460168.1317438,-22302199.4010648
-22436244.8643746,-270.352566396538,-22176376.529471,11182404.6523997,19460025.7738789,-22305881.6661739,11179229.4919583,-19460372.1607624,-22302106.3332221
-22429399.0152955,-282.50638037443,-22204040.7755768,11183543.7799865,19460261.792128,-22305188.6813505,11180631.387265,-19460561.6749708,-22301721.5885214
-22432317.8655983,-293.783390773588,-22215845.1527083,11184750.9587271,19460379.606288,-22304543.6474977,11181947.7566882,-19460744.1983691,-22301242.3395887
-22443515.6140113,-304.73308376615,-22215594.6627826,11185780.9423574,19460392.1924408,-22304061.7933826,11182967.7373195,-19460917.1170098,-22300818.9320612
-22460282.8734709,-315.978303610978,-22207254.3771888,11186474.4495273,19460323.6688644,-22303805.6358493,11183571.2776079,-19461072.9651818,-22300548.4368937
-22479272.5287852,-328.012161402637,-22194721.1115696,11186763.0736456,19460204.680741,-22303786.3149293,11183729.7354173,-19461203.2962741,-22300474.3602973
-22497239.8555487,-341.062541620082,-22181489.0942805,11186661.3452702,19460067.2068329,-22303971.5256741,11183493.5625834,-19461301.3330454,-22300592.4933203
-22511624.8933759,-355.11576058475,-22170388.9866825,11186248.6307671,19459939.765318,-22304298.3818991,11182970.5258821,-19461363.5955398,-22300861.875384
-22520865.4319154,-369.961540802099,-22163388.1920723,11185644.6544224,19459843.7719226,-22304688.9193478,11182298.8017742,-19461390.6467767,-22301219.0340538
-22524463.5489179,-385.258714281729,-22161470.2109827,11184982.8969169,19459791.4674735,-22305065.6713189,11181619.4916313,-19461387.0367824,-22301593.1898164
-22522874.4800829,-400.678836948094,-22164605.5486232,11184385.9678065,19459785.4939559,-22305364.9062259,11181052.6831685,-19461360.524478,-22301920.0787481
-22517292.0409387,-415.965731089583,-22171827.7752144,11183946.3490359,19459819.9356259,-22305545.6908045,11180680.2382753,-19461320.7307678,-22302152.4506108
-22509335.7190448,-430.904234369104,-22181505.9100776,11183714.784124,19459882.4786576,-22305593.8154157,11180537.1696586,-19461277.4870786,-22302266.038076
-22500736.0262349,-445.357636047509,-22191737.4630629,11183697.2126627,19459957.2605182,-22305520.5936209,11180611.9728236,-19461239.2239211,-22302260.6797929
-22493072.747233,-459.27962903375,-22200755.0080227,11183859.7299803,19460027.9473628,-22305357.4170299,11180854.8302239,-19461211.7374046,-22302157.1154623
-22487574.0940237,-472.708622985213,-22207251.1367286,11184139.8106637,19460080.5777529,-22305147.5480717,11181191.4273309,-19461197.5656264,-22301990.599929
-22484975.2860771,-485.748167716533,-22210560.1046331,11184461.1720956,19460105.7514682,-22304936.8948353,11181539.4021774,-19461196.0382762,-22301802.8290571
-22485441.799306,-498.542397718491,-22210681.2668111,11184749.3023712,19460099.841949,-22304765.4476304,11181824.2940584,-19461203.895714,-22301633.7323021
-22488574.4150198,-511.251943529281,-22208171.3539043,11184944.8681192,19460065.077271,-22304660.7382709,11181992.2576032,-19461216.2649008,-22301514.512511
-22493509.6197023,-524.052113061,-22203961.6905957,11185012.8769309,19460008.5462812,-22304634.2024536,11182017.6517262,-19461227.7518601,-22301462.9656148
-22499108.2891745,-537.100601598646,-22199154.0810431,11184946.4358549,19459940.3949854,-22304680.7700413,11181904.7073901,-19461233.448518,-22301481.6525431
-22504204.7234559,-550.470081511144,-22194822.2133884,11184765.0174267,19459871.6261754,-22304781.4530319,11181683.6017665,-19461229.7186393,-22301558.9825157
-22507845.4798663,-564.149071111831,-22191847.8887517,11184508.1174229,19459811.9620912,-22304908.2161851,11181402.2164188,-19461214.6889963,-22301672.7677561
-22509457.8940413,-578.066033967153,-22190801.6290935,11184225.9059624,19459768.1693506,-22305030.068643,11181115.4870076,-19461188.4141505,-22301795.4019186
-22508921.7645589,-592.138640371731,-22191866.617472,11183968.8422094,19459743.1058153,-22305119.1650298,11180874.4892276,-19461152.7138343,-22301899.573579
-22506538.8108741,-606.256481454941,-22194821.0167532,11183778.218259,19459735.5780192,-22305155.7825991,11180717.2515343,-19461110.7164856,-22301963.4022431
-22502919.8816469,-620.301180631926,-22199095.2016278,11183679.2567477,19459740.9405661,-22305131.3324567,11180662.8027472,-19461066.1879938,-22301974.0804224
